1	-0.468

2	0.827

3	-0.994

4	0.93

5	-0.65

6	0.219

7	0.263

8	-0.684

9	0.946

10	-0.988

11	0.801

12	-0.428

13	-0.045

14	0.507

15	-0.851

16	0.998

17	-0.913

18	0.615

19	-0.175

20	-0.306

21	0.716

22	-0.959

23	0.98

24	-0.773

25	0.387

26	0.089

27	-0.545

28	0.874

29	-1

30	0.893

31	-0.58

32	0.131

33	0.348

34	-0.746

35	0.971

36	-0.97

37	0.744

38	-0.345

39	-0.134

40	0.582

41	-0.895

42	1.00

43	-0.872

44	0.542

45	-0.086

46	-0.39

47	0.775

48	-0.981

49	0.958

50	-0.713

51	0.303

52	0.178

53	-0.618

54	0.914

55	-0.998

56	0.85

57	-0.504

58	0.042

59	0.43

60	-0.803

61	0.988

62	-0.945

63	0.681

64	-0.26

65	-0.222

66	0.652

67	-0.931

68	0.994

69	-0.825

70	0.465

71	3

72	-0.47

73	0.829

74	-0.994

75	0.929

76	-0.648

77	0.216

78	0.266

79	-0.686

80	0.947

81	-0.987

82	0.799

83	-0.425

84	-0.048

85	0.509

86	-0.853

87	0.998

88	-0.911

89	0.613

90	-0.172

91	-0.308

92	0.718

93	-0.96

94	0.979

95	-0.771

96	0.384

97	0.092

98	-0.548

99	0.875

100	-1

